quote	source
He who writes to his beloved every day is not a lover, but a writer.	Dr. Kyaciss Pfiell
The Futures Bright, Wear Your Sunglasses	Ian Somerhalder
Celebrate who you are in your deepest heart. Love yourself and the world will love you.	Amy Leigh Mercree
Self love is the elixir of an immortal heart.	Amy Leigh Mercree
The only thing that will ever make me fall in love is: if I fall in love.	C. JoyBell C.
Unconditional love is the greatest gift we can ever give.	Amy Leigh Mercree
An empowered heart is one filled with self love.	Amy Leigh Mercree
I Am In Love With Myself, With My Heart.	Nirav Sanchaniya
Daily love and kindness are the path to a happy life.	Amy Leigh Mercree
Love yourself, even a little bit each day, and your life will bloom into infinite joy.	Amy Leigh Mercree
Be uniquely you. Stand out. Shine. Be colorful. The world needs your prismatic soul!	Amy Leigh Mercree
Love is the opposite of fear and it lights the flames of a million hearts.	Amy Leigh Mercree
Live joy. Be kind. Love unconditionally.	Amy Leigh Mercree
Sometimes an angel is found in the dark.	K.  Webster, Alpha & Omega
Be real, rare, refreshing you! Fan the flames of self love and ignite your light!	Amy Leigh Mercree
Treat yourself today! You are a unique, sparkling, spectacular soul. Celebrate you!	Amy Leigh Mercree
The power of love can spread magic to the world like nothing else.	Amy Leigh Mercree
Choose love and joy as much as you can in each moment and watch your life transform.	Amy Leigh Mercree
Being present to yourself in love and with kindness is the ultimate gift.	Amy Leigh Mercree
Doing what is right to GOD gives you peace not regret	Rudzani Ralph
Dream big and never give up on those dreams. Who knows where they'll take you?	Amy McGuire
The most important thing in life is to learn how to give out love, and let it come in.	Morrie Schwartz.
The moon stared at me through sprinkled nighttime stardust and I alone smile.	Jay     Long
Your rebel soul shines like a diamond pulled from dust: bright, clear and flawless.	Jay     Long
Thanksgiving is a joyous invitation to shower the world with love and gratitude.	Amy Leigh Mercree
You may be a poet and not even know it.	M.L. Shanahan
Find someone who will love your soul more than your body.	E.J. Cenita
You can, you will. You did.	M.L. Shanahan
Love will always be blind, but will never be deaf.	Matshona Dhliwayo
Fear takes you low, faith takes you high, but love takes you everywhere.	Matshona Dhliwayo
I call her Google because she got everything I have been searching for.	Genereux Philip
I call her Google, Because she got everything I'm searching for	Genereux Philip
Sometimes, you simply must give yourself permission to fall apart.	Mishi McCoy
Peace happens - It begins with me.	Catherine Marie Bergman
The most important key to bettering yourself - is just that "yourself" - (g swiss)	G Swiss
Love is like an ocean… You see just the beginning because there is no end.	mopana
Love cannot be contained, love is destined to transcend and change.	Atalina Wright, Unbound
You played my heart as it was meant to be played, a little, then all at once.	Atalina Wright, Unbound
When we're together, I'm a leaf floating on a pond. Weightlessly in love.	Atalina Wright, Unbound
Tomorrow is the only future we have. Let’s live to love it!	Munia Khan
Don't miss the blessing disguised as shit.	Jennifer Ho-Dougatz
What if we treated the ones we loved the same way we treated ourselves?	Rain Cooper
Why don't we pay more attention to little children and be nice to each other.	Nurudeen Ushawu
There's no beauty without difference and diversity. Love unconditionally.	Rasheed Ogunlaru
Find your bones. Believe in what you are.	Grace Sara
Taking care of yourself will take care of more than yourself.	Grace Sara
Time is the first currency for success and one we all hold in common.	Mensah Oteh
I love and care for everyone because I know the pain of being unloved and uncared.	Luffina Lourduraj
I am one and when I am one I am none, and when I am none I have won.	Julieanne O'Connor
Some stories always remain incomplete, until you do not read them complete with heart <3	Danish Ahmad Afsar Ali
Communication is the breath or death of any relationship	Rasheed Ogunlaru
Choose a job you love, Your work is going to fill a large part of your life.	Napz Cherub Pellazo
The most important relationship in your life should be your relationship with yourself.	Mensah Oteh
Define success by your terms, not by other people’s standards.	Mensah Oteh
Self-discipline is a prerequisite to progress.	Mensah Oteh
Your words reveal your wants but your actions reveal your expectations.	Mensah Oteh
Ninety-five per cent of your success or failure will come from your daily habits.	Mensah Oteh
Dare to be different.	Mensah Oteh
You are a product of the stories you believe and accept.	Mensah Oteh
Talent is never enough. Effort, not talent, is the key to success.	Mensah Oteh
Talent helps, but success is only achieved and sustained through consistent effort.	Mensah Oteh
Love everyone but chose your friends with caution.	Mensah Oteh
Don’t leave it to chance, find success and replicate it.	Mensah Oteh
You are the best thing that will happen to someone today.	Mensah Oteh
Taking consistent action is guaranteed to increase the probability of your success.	Mensah Oteh
Feedback is to success like rest is to the body.	Mensah Oteh
What you do consistently shapes your life.	Mensah Oteh
A vision is a promise of the future as seen in the present.	Mensah Oteh
Consistency in action is an essential component of success.	Mensah Oteh
The true measure of a man is how he treats you when others are not looking.	Alessandra Torre
Each new friend gives rise to the possibility of anything!	Stephen Richards
Love is the energy of life.	Robert Browning
Marriage is just a piece of paper if it's not a happy one.	Phil Lester
Talking about someone who makes you happy actually makes you happy.	Elizabeth Scott, Bloom
The happiness you feel is in direct proportion to the love you give.	Oprah Winfrey
Sometimes it just feels really really wonderful to be alive.	Doug Coupland
Friendship is thinking of the other person first.	George Alexiou
It is not as much about who you used to be, as it is about who you choose to be.	Sanhita Baruah
You and your purpose in life are the same thing. Your purpose is to be you.	George Alexiou
After all, is not a real Hell better than a manufactured Heaven?	E.M. Forster, Maurice
When I saw you, I fell in love, and you smiled because you knew	William Shakespeare
There's the risk of being loved...and that would keep me from being happy.	Albert Camus, A Happy Death
I don't think two people could have been happier than we have been.	Michael Cunningham, The Hours
I have been poisoned in your love and now I need antidote Jacqueline.L.J! <3	Omaid olovejlj Zazai
Through strength I found loveIn time I found myself in happiness with you	Alexis Jordan
Money can't buy love, but it improves your bargaining position.	Christopher Marlowe
Make a pledge to yourself right now, to declare that you are worth your time and energy.	Deborah Day
Pick a sunset, and we'll ride off into it together.	T.M. Brenner
You are the ruler of my heart. There is no measure greater than this.	Truth Devour, Unrequited
Never surrender to you're passions. Dream and live to excess.	Truth Devour, Unrequited
Totally present in this moment for you.	Truth Devour, Unrequited
One thing I have come to realize is that love is not always happiness.	Jerhia
It’s that short-lived happiness, which empowers us to bear; long-lasting pain in living.	Aniruddha Sastikar
Never been more truthful then right now, looking at you fixes everything.	Holly Hood
Connection is life; disconnection, death.	Deborah Day
Life is a journey worth making.	Pandora Gray
Only when you follow your heart, can you find holy happiness.	Lailah Gifty Akita
I suppose if you love someone, you don´t stop them doing the things that make them happy.	Ann Cleeves, Blue Lightning
If you want to be happy think about tomorrow but not the day after tomorrow.	Hossmith
i am anearthquake& dancemost heavilyupon all myfaults.	Curtis Tyrone Jones
Daring to be kind is a sign of strength, not weakness.	Arne Klingenberg
If you can't be happy, Make someone else happy! :)	Hossmith
If you can't be happy, Make someone else happy. :)	Hossmith
Spread Smiles, it may cost you nothing but may worth more than anything for some one.	Mahrukh
Love makes a happy life.	Lailah Gifty Akita
Every human being desires love and happiness.	Lailah Gifty Akita
By learning to be more warm-hearted we can create a more compassionate world.	Auliq-Ice
A man desire two things: love and happiness.	Lailah Gifty Akita
Inner beauty, warm-heartedness and compassion, is what brings about peace of mind.	Auliq-Ice
Where your heart is, there is your treasure of happiness.	Lailah Gifty Akita
Don't turn your back on your own happiness just to hug your pride.	Nora Roberts, Enchanted
If this is a dream, may we never wake up!	Ahmed Mostafa
Happiness is not always a reality many times it is in our memory.	Hockson Floin
Give people a chance.	Scott Stabile
When you learn from the past, you're liberated from it.	Tim Fargo
Can a heart explode from too much love and happiness?	Carla Reighard, Travelers
A happiness trick:do more things that make you happy, and you'll be happy more often.	Scott Stabile
I finally stopped seeking in others everything I could only find in myself.	Scott Stabile
We can’t heal what we refuse to acknowledge.	Scott Stabile
I’ve finally figured out a way to stand strong on my own.	Scott Stabile
I was still water, held by my surroundings.I am now a river, carving my own path.	Scott Stabile
I stayed, to love you.I left, to love myself.	Scott Stabile
You change our world for the better by changing our world for the better.	Scott Stabile
Be a person who gives a shit about other people.	Scott Stabile
If people aren't able to see your magnificence that's their loss, not yours.	Scott Stabile
Today is the perfect day to do something daring. Like just be yourself, for instance.	Scott Stabile
Grow your courage by remembering each day is a gift.	Auliq-Ice
She felt wild and unruly, determined and free.	Scott Stabile
Beginnings are easy, but after that, happiness takes some work.	Liz Thebart, Walk Away
...Realization is born from error...	Janvier Chouteu-Chando
Your fate is never determined when your massive imagination is.	Curtis Tyrone Jones
You can'tassume i'min bad shapejust becausei've run out ofthe energy toimpressyou.	Curtis Tyrone Jones
Life's a gloomy puddle, until you start jumping in it.	Curtis Tyrone Jones
I hope you are smiling and happy and I am not gay.	Sumrit Shahi, Just Friends
I am a world of uncertainties disguised as a girl.	Nicole  Lyons
You're only as good as your last thought of yourself.	Curtis Tyrone Jones
The best piece of life's magnificence is your slice of internal peace.	Curtis Tyrone Jones
A house is never small or empty, when filled with love.	Anthony Liccione
Every time I tried kissing happiness, it came very close to me and then pushed me away.	Toffee, Finding Juliet
The greatest gift of life is being wealthy with happiness.	Aloysius Jnr
No hay felicidad más grande que la que sientes al ayudar a los demás.	Maya Benmergui
I don't trust anybody who isn't a little bit neurotic	Mohadesa Najumi
I am a habitual rule-breaker	Mohadesa Najumi
Vulnerability is the least celebrated emotion in our society	Mohadesa Najumi
I have been at war with parts of myself for so long	Mohadesa Najumi
Where Love Leads, Hatred Cannot Follow.	Auliq Ice
Where there is love, things roll.	Auliq Ice
Love, they said, burns youand builds you.But with you, there’s no ash.Just light.	Kamand Kojouri
He's like a drug for you, Bella.	Stephenie Meyer, Eclipse
Every great love starts with a great story...	Nicholas Sparks, The Notebook
The heart is an arrow. It demands aim to land true.	Leigh Bardugo, Six of Crows
He sighed. "The clouds I can handle. But I can't fight with an eclipse.	Stephenie Meyer, Eclipse
I honestly have no idea how to live without you.	Stephenie Meyer, New Moon
You always get more respect when you don't have a happy ending.	Julia Quinn
Why do people always assume that volume will succeed when logic won’t? - Damon	L.J. Smith, Nightfall
Stay with me.Always.	Suzanne Collins, Mockingjay
He is my world and my world is him and without him there is no world.	Lauren Oliver, Delirium
Live like you were dying, Love because you are.	Mark Green
We ruined each other by being together. We destroyed each other’s dreams.	Kate Chisman, Run
Attraction is not an option. 	Neil Strauss
What if you find your soul mate... at the wrong time?	Lauren Kate, Passion
He was now in that state of fire that she loved. She wanted to be burnt.	Anaïs Nin, Delta of Venus
Deceiving others. That is what the world calls a romance.	Oscar Wilde
your handtouching mine.this is howgalaxiescollide.	Sanober  Khan
Having sex multiple times on the first sleepover does not count as more than one “date”…	Rowena Cherry, Knight's Fork
Vampires. Honestly, they're like children sometimes. 	Richelle Mead, Succubus Blues
When would he learn that women never stayed where you put them?	Maya Banks, Hidden Away
There is darkness in light, there is pain in joy, and there are thorns on the rose.	Cate Tiernan
The tune was sad, as the best of Ireland was, melancholy and lovely as a lover's tears.	Nora Roberts, Born in Fire
I’m writing this because you begged. You know how I love the begging	C.J. Roberts, Epilogue
To see the years touch ye gives me joy", he whispered, "for it means that ye live.	Diana Gabaldon
Mercy is for the weak… let me show you how much of an Unseelie I still am.	Julie Kagawa, The Iron Knight
What he did to my heart was sheer, inexplicable, magic.	Wendelin Van Draanen, Flipped
I'll never recover if he breaks my heart. ~Brooke	Katy Evans, Real
To fall in love with someone's thoughts - the most intimate, splendid romance.	Sanober  Khan
Doesn't it scare you sometimes how time flies and nothing changes?	Ika Natassa, Antologi Rasa
Sometimes letting go is the only way to find out who you're meant to hold on to.	J. Sterling, The Perfect Game
Bonnie, believe in me. I’ll save you.I remember how to fly.	L.J. Smith, Nightfall
Dreams only come true if youpoint yourself in their direction	Tina Reber, Love Unrehearsed
I am yours," he whispered. "I live to hold you, Risa. I breathe to touch you.	Lora Leigh
Life is a book waiting to happen.	Sloan McBride
What business had I to think of one that never thought of me?	Anne Brontë, Agnes Grey
Bite me." -Lieutenant Eve Dallas, from any of the In Death books.	J.D. Robb
Never ask a question if you don’t know the answer.— Rhett	Rowena Cherry
Humans are vulnerable, because they’re capable of being hurt.	Becca Fitzpatrick, Hush, Hush
Romance is the deepest thing in life. It is deeper than reality.	G.K. Chesterton
Over everything, I choose you	Marissa Meyer, Heartless
My heart cracked. Daemon never begged.	Jennifer L. Armentrout, Onyx
I don't need handcuffs to enslave a woman." -Ranger to Stephanie	Janet Evanovich, Hard Eight
Here’s what I know: death abducts the dying, but grief steals from those left behind.	Katherine Owen, Seeing Julia
There was nowhere I could go that wouldn't be you.	Jeffrey Eugenides, Middlesex
Hades was the personification of dark and dangerous--a living, breathing Batman.	P.C. Cast, Goddess of Spring
because being with you makes perfect sense	Tim McGraw
I don't want to be in love but you're makin' me	Jonny Lang
Born to be wild; born to be free; nobody owns you; you are, a romantic tree.	Santosh Kalwar
Kalau kamu percaya takdir, aminkan dalam hati, kita bertemu lagi suatu hari nanti	Robin Wijaya, Menunggu
أنا المجنون في زمنٍ بلا ليْلىفتأيْنَ تكونُ ليْلاتي؟	فاروق جويدة, لو أننا لم نفترق
Nothing good ever comes of love. What comes of love is always something better	Roberto Bolaño, Amulet
Please. Forgive me. One more chance, Blaire. I want this. I want you.	Abbi Glines, Fallen Too Far
Great. I'd been dumped in Hell's waiting room.	Karen Chance, Touch the Dark
When I'm with you, bells go off in my head like a moving truck that's backing up.	Jodi Picoult, Vanishing Acts
Now," said Brandons low, cold voice. "Lets not be rude eve.	Rachel Caine, Glass Houses
Who are you?" I asked."You know who I am," he replied. "I'm yours."~Clea / Sage, pg. 105	Hilary Duff, Elixir
If you were mine, I'd never leave you, Prudence. I couldn't.	Anne Gracie, The Perfect Rake
If death is your lover, you don't got to be afraid ever that he will ever leave you	Francesca Lia Block, Echo
I've never even been to Long Island	Meg Cabot, Jinx
You're a dream. Like everything else.	Kelly Creagh, Nevermore
True love is finding your soulmate in your best friend	Faye Hall, My Gift to You
Let's still be friends" (things that are never true in a break up, but you have to say).	Lauren Leto
And if you ever - and I do mean ever - try to leave me, I’m goin’ with you.	Catherine Anderson, Cherish
Someone once told me love isn’t perfect—or predictable.	Lauren Morrill, Meant to Be
If you die, angel, it means I'm already dead.	Pamela Clare, Breaking Point
Tsuyokini,honkiMutekini,sutekiGenki,yuuki!--Kusakabe Maron	Arina Tanemura, 神風怪盗ジャンヌ 1
You matter.	Suzanne Young, The Treatment
All day and all night my desire for you unwinds like a poisonous snake.	Samar Sen
Just tell him to keep his hands to himself and his python in his pants.	Evangeline Anderson, Claimed
Everything changes except the love.	Santosh Kalwar
We all romanticize the people we adore.	John Green
If you don't do anything, you simply end up overwhelmed by something happening.	Matsuri Hino
What is real and what is not is for your heart to decide and for your heart to know.	Colleen Houck, Tiger's Curse
It doesn’t matter. I love you. That’s it. That’s all. I hope to hell it’s enough.	Maya Banks, No Place to Run
I feel as though I am ice and he is fire.We are so completely different, yet thesame.	Anna Todd, After
He’d used the amulet to read my thoughts again. I pictured smacking him in the face.	Priya Ardis, Ever My Merlin
I think of you only twice a day - when I am alone and when I am with someone else.	Amit Kalantri, I Love You Too
The moment you stop chasing happiness, you become happy.	Sandy Hyatt-James
Sometimes Hen...I think I would give my life just for one of your smiles.	Julia Quinn, Minx
Picnics are very dear to those who are in the first stage of the tender passion.	Arthur Conan Doyle
It is as if Quincey has replaced the sun in my universe and it is around him that I spin.	Kate Cary
Sonetimes the hardest person to forgive is yourself.	Sarah Sundin
There is no law stronger than that ofmagic. - Kian	Kailin Gow, Bitter Frost
Your beauty took my breath away, but your mind has stopped my heart.	Ivan Rusilko, Appetizers
Asuka...you're really cute. When I look at you...I start wanting to protect you.	Aya Kanno
We've got a bond in common, you and I. We are both alone in the world.	Daphne du Maurier, Rebecca
one transcendent kissthat later makes lovers takesoft breaths, holding hands	Lori L. Otto, Lost and Found
There's always be a me and you.	James Patterson, Max
You're okay now... You're okay because I'll be holding you like this from now on.	Matsuri Hino
I know this woman.”“Who the hell is she?”He stared both his brothers down. “She’s mine.	Maya Banks, No Place to Run
What really happened doesn't matter. What matters is how we agree to remember it.	Leila Sales, Past Perfect
Love is photogenic, it develops in the dark.	Lorraine Gokul
It's taken me all this time, all this loss, to realize what really matters is now.	Suzanne Young, The Treatment
And to think of all the colors in the world, blood chose to be red.	Nelou Keramati
Love is an emotion experienced by the many and enjoyed by the few.	George Jean Nathan
Have you any other objection than your belief of my indifference?"- Elizabeth Bennet	Jane Austen
That settles it, no more books about vampire before bedtime.	Amanda Ashley
I generally find subtlety a waste of time.	Cindy Gerard, To the Brink
And there, in the midst of blinding orange, yellow, and white flames, our forever begins.	A.G. Howard, Ensnared
يؤلمني أنَّ كلَّ الأشياء ظلَّت وفيةً، إلا أنتِ.	محمد حسن علوان, سقف الكفاية
Goodness had nothing to do with it.	Mae West, She Done Him Wrong
Romance has been elegantly defined as the offspring of fiction and love.	Benjamin Disraeli
Will you be my forever, Donia?	Melissa Marr, Darkest Mercy
My soul will always find its way to yours because home is where the heart is.	Truth Devour, Wantin
How could you fall in love with a three inch worm?	Stephenie Meyer, The Host
You're my wings. You made me fly.	Pepper Winters
Love one another. Love yourself. Then love will find you whole not half.	K. Taylor
Never sleep with a lady only once, especially in the case of an older lady.-'Rhett 	Rowena Cherry, Knight's Fork
I want you," she said."I told you so," he said.	Loretta Chase, Lord Perfect
He loved her.He wanted her.He needed her.And he needed her now.	Julia Quinn, Just Like Heaven
It's your heart. No one else gets a say in that.	Jay Asher, What Light
I am a wild woman. it would take a warrior to tame my spirit.	Nikki Rowe
When you are in love- everything is romantic	Jude Morgan, Indiscretion
I wouldn't yell 'fire' at that slimeball if his ass was in flames.	Victoria Dahl, Talk Me Down
They say money talks, but all mine ever says is 'good-bye sucker.	Jill Shalvis, Head Over Heels
I always watch you. You consume my every thought.	M.A. Stacie, Unwritten Rules
Nothing is forever. Except atoms.	Dannika Dark, Gravity
He hugged her hard. "I love you. My life is so much better with you in it than out of it.	Cindy Gerard, To the Brink
This is the us you wanted us to be, Gwen.	Kristen Ashley, Mystery Man
My life before him was so simple and decided, now after him...It's just...After.	Anna Todd, After
Yes. And when a rake finally falls, he falls forever.	Anne Gracie, The Perfect Rake
And givin' yourself to me can never be wrong	Marvin Gaye
Love fades, mine has.~Dimitri Belikov~	Richelle Mead, Spirit Bound
Not even a repeat of Dawson’s Creek makes me feel better.	Susane Colasanti
When you can be this, why are you ever anything else? - Broken Verses	Kamila Shamsie
You don't think I'm going to deflower you under your father's roof, do you?	Amanda Ashley, Dead Perfect
I've crossed a world of sand and tears in search of you.	V.S. Carnes, Sand for Dreams
Careful," he smiled, "I'm lethal.	Nely Cab, Creatura
You teach people how to treat you by what you accept.	Diamond Drake, Imagined Love
And baby, the way you move me it's crazy	Ray Lamontagne
He should probably make love to her.	Tara Janzen, Crazy Love
You picked the wrong girl to dominate, Dracula.	Rebecca Zanetti, Fated
Go to bed," he ordered. "Go to bed... and stay there.	Cindy Gerard, To the Edge
Maybe I was in love with the idea of love.	Shay Savage, Surviving Raine
Gentle he would be, denied he would not.	Diana Gabaldon, Outlander
Give me agony or give me death,I'll take thy heart as eternal breath	Nely Cab, Creatura
Every bride is beautiful. It’s like newborn babies or puppies. They can’t help it.	Emme Rollins, Dear Rockstar
All beautiful distractions, ignites from you.	V.S. Atbay
You love me.”He kept gazing upward, his answer coming softly. “Yeah. I do.	Toni Blake, Whisper Falls
It's just the end of some things.And the beginning of others.	Lisa McMann, Fade
Hawke," he said. "That's the word you need to be saying.	Nalini Singh, Kiss of Snow
We're all the same in the dark.	J.J. Murray, Renee And Jay
Love is not about lovers.	Santosh Kalwar, You Can
Wouldn’t you rather play chess, Ma’am?....It’s less destructive of clothes.	Rowena Cherry, Knight's Fork
I fell for her like a suicide from a bridge.	Neil Gaiman, M Is for Magic
Love is not maximum emotion. Love is maximum commitment.	Sinclair B. Ferguson
I love you, baby girl. When you’re sad, I am too.	Darla Phelps, Daddy's Girl
Semua orang pernah patah hati. All you have to do is move on.	Nina Ardianti, Restart
Romantic literature is in effect imaginative lying.	Oscar Wilde
I always have many roads to travel, but I take the one which leads to you.	Amit Kalantri, I Love You Too
His walk and stare. Was as poisonous as the air after a nuclear bomb.	sequence kye kenneth young
Love can cause problem and love can heal humanly problems based on our virtue.	Santosh Kalwar
cinta itu punya dua sisi	Dewie Sekar
Oh yeah? How about M'Lin the cursed?	L.J. Smith
Will you love me enough?	Ana Monnar
Some guys are worth breaking the rules for.	Melissa Pearl, Golden Blood
And third, I was unconditionally and irrevocably in love with him	Stephenie Meyer, Twilight
There are much more important qualities to have than a docile disposition.	C.J. Redwine, Defiance
The weakness of a man is the strength of a woman	Santosh Avvannavar
I am amazed at how being with him changes everything for me, socially speaking.	Cynthia Hand, Unearthly
What can I do?” he asked. “To start taking care of you?	Toni Blake, Whisper Falls
Oh, how wonderfully romantic of you. Romantics are really only in love with themselves.	Miguel Syjuco, Ilustrado
She doesn't want the boy causing the distinction between "love" and "in love	Rachel Cohn
The insanity of love, and that’s why you’re trying to drive away with the park brake on.	Helene Young, Shattered Sky
When a girl smiles, she's as beautiful as a blooming flower.	Daisuke Hagiwara
Creativity is the catalyst to the future.	Ann Marie Frohoff
Romance is a tender kiss with a lingering promise of more to come.	Tim Campbell
No I'm not a dream, I'm your worst nightmare	C.T. Todd
Oh dios mio, she makes me burn, she makes me need. She is etching herself into mi alma	P.T. Macias, Hot & Spicy
People don't care how smart woman is as long as she's charming and gay and pretty.	Sandra Brown
It was like being leaned on by a very heavy, warm brick. A sexy brick.	Patricia Briggs, Iron Kissed
So it's over I guess they are in love or do they just think it huh.	Christopher Velazquez
lean in to kiss mein all the placeswhere the acheis the most special.	Sanober  Khan
and that's where love finds you... in the tragedies.	Colleen Hoover, Too Late
They call her love, love, love, love, love. She is love, and she is all I need.	Parachute Band
Never Give up, never surrender.	Nancy J. Cohen
There is no hope for the hopeless but there is always some love for the loveless.	Santosh Kalwar
Men's eyes were made to look, let them gaze, I will budge for no man's pleasure.	William Shakespeare
What comes from the heart will go to the heart	Renae Lucas-Hall
There is no cosmetic to gain a beauty like yours.	Amit Kalantri, I Love You Too
Never stop believing that your dreams are eternal.	Truth Devour, Unrequited
Smile. it's the second best thing you can do with your lips.	Jill Shalvis, Head Over Heels
It kept him alive, he was certain; even more, it kept his darkest of his demons at bay.	Lara Adrian, Kiss of Crimson
Maybe illusion and artifice—lies, even—are a necessary part of romance.	Jody Gehrman, Babe in Boyland
Love and ego can never exist together, just as the Sun and shadow cannot.	Banani Ray, Gautama
Every girl should have at least one wild fling on her resumé.	Donna Cummings, Summer Lovin'
A kiss is only as sweet as the heart that gives it.	Kristy Pellegrin
It took me two years to give him all of my heart, and he threw it away in one night.	Dannika Dark, Seven Years
See me just as I see you.	Nicholas Sparks, See Me
Or you just not ask her.""You might as well slit my throat.	Dee Henderson, The Witness
Oh, aye. I'm the devil all right. And last night, you were begging to step into the fire.	Liz Carlyle, My False Heart
Misha, my best friend who got me into bed and fucked me with a lie.	Penelope Douglas, Punk 57
You totally love him. He's your widdle snookums.	Thea Harrison, Serpent's Kiss
Strano come certi ridicoli rituali appaiano perfettamente sensati quando si è innamorati.	Alexandra Adornetto, Hades
A man's weakness is a woman's beauty...a woman's weakness is falling in love.	Jemina Akhtar, Veil of Lies
... fantasy is not practice for what is real—fantasy is the opiate of women.	Shannon Hale, Austenland
Scent is the strongest tie to memory.	Maggie Stiefvater, Forever
It's the Snickers bars. Snickers equal romance.	Lisa Scottoline, Look Again
Gradually, we have become each other's weather.	Paul Zweig, Eternity's Woods
Aku percaya, tak pernah ada kata salah untuk cinta.	Sefryana Khairil, Coming Home
I love you Mark..." Courtney, PoR.I love you too Courtney..." Mark, PoR.	D.J. MacHale
I know every guy here, and they’re all pretty much jerks.	Nicki Elson, Three Daves
His lordship and I are...opposite sides of very different coins.	Emma Jensen, The Irish Rogue
There are certain kinds of silence that make you walk on air.	Cecelia Ahern
If you do not love me I shall not be loved. If I do not love you I shall not love.	Samuel Beckett
Love and be loved. Settle for no less. Ask for no more.	Truth Devour, Wantin
How do you know?”“Well, I don’t, I’m making this up, but I bet I’m right.	Robyn Carr
L'avrebbe trovata?Senza il minimo dubbio.L'avrebbe salvata?Sempre.	Lauren Kate, Torment
All the friends in the world are in the fountain of a pen.	Michelle Franklin
All my life I have lived within the very hours of the hands of love.	Valentinno
What happened to romance? sappy soppy longhand love letters.	Alex Flinn
Hello, dinner. It’s me, I’m starving. And I know where you live.	Lauren Hammond, Famished
We’ll make out for a while and you’ll feel better.	Robyn Carr, Harvest Moon
Hell had frozen over and I was lost in its endless labyrinth.	Cameo Renae, In My Dreams
Every broken heart has screamed at one time or another: Why can't you see who I truly am?	Shannon L. Alder
i writebecauseit is the only wayi can reach you.	Sanober  Khan
Beth: "What are you, the Energizer Bunny?	Lucy Monroe
When it comes to love, Princess, rules blur, and traditions fade,	Rose B. Mashal, Black Keys
Romance is everything to turn it into a cause for given is priceless	Maxine Wilson-Perry
Denial can be beautifulBut only when you're a fantastic liar	Kim Holden, All of It
I can’t rock you on my lap, if you’re not here.	Darla Phelps, Daddy's Girl
A vampire's thirst can only be quenched by the blood of their loved ones.	Matsuri Hino
If you want romance, fuck a journalist.	W.H. Auden, Acting Up
Soul bonds can't be broken. They only bend for a while . . .	Diane J. Reed
Nobody speaks smut to my wife and gets away with it.	Sandra Brown, Texas! Chase
Crazy got nothin on us" Neesa	C.T. Todd
There is a perfection in everything that cannot be owned.	Anaïs Nin, Delta of Venus
Aku ingin bahagia. Dan, aku berhak bahagia--tanpamu.	Sefryana Khairil, Coming Home
I hope you outlive me so I never have to know what life is like without you.	C.J. English, Affairytale
The curves of your lips rewrite history.	Oscar Wilde
I’m not that pitiful little girl you bullied last year.	Rachel E. Carter, Apprentice
I never had any preference for her, any more than I have a preference for breathing.	George Eliot, Middlemarch
Sebab Tuhan selalu punya cara untuk kita menemukan takdir kita sendiri -forgotten	Nay Sharaya
I want to introduce myself to every freckle on your body.	Wendy Higgins
Marry me. You'll learn to love me, I promise.	Robyn Carr, Sunrise Point
There is only one kind of love, but there are a thousand different versions.	François de La Rochefoucauld
I clung to each word that fell from his lips like a spider to a web.	Dannika Dark, Twist
Okay, babe, I'm here.”	Christy Reece, Rescue Me
Wanita cerdas bisa menghadapi cecunguk mana pun dengan anggun.	Francisca Todi
Love me for stupid reasons,I like those most.	Sarah Slean
FYI, women think glasses are a sign of brains, and also, they're sexy.	Jill Shavis
Unbidden, Unwelcome, Yet unable to resist, I entered a stranger's life	Joyce Carol Oates
I felt like a thief with a bagful of stolen glances.	Jeanette Winterson
Holy Bon Jovi, the queen of darkness actually had a soul.	Lynn  Mitchell, June 15th
What was the point of starting a new life if she did everything the same as her old one?	Donna Cummings, Summer Lovin'
Gem, there is an exception to every rule and we are going to be it. I'm not losing you.	Melissa Pearl, Golden Blood
Don't be jealous, be agressive. Make 2012 yours!	Rachel Firasek
My life would be sour grapes and ashes without you	Daisy Ashford
Sometimes you can cattle rope your heart and sometimes you can't, is all.	Deb Caletti
He was like a lot of Warmbloods, massive and showy and a bit of a dumb jock...	Astrid Amara, Half Pass
You, my dear, are a creature of the night, you are a vampire.	Lauren Hammond, Love Sucks
I'm not going anywhere.	Allie Burke, Violet Midnight
Bringing Thoughts 2 Life	Brooklen Borne
You’re supposed to pinch yourself – not the one you’re dreaming about.	Nicki Elson, Three Daves
Liebe macht nicht blind. Der Liebende sieht nur weit mehr als da ist.	Oliver Hassencamp
stronger than mountains.a place where my heart feels the safest- underneath his shirt.	Sanober  Khan
i immersemyselfin youlikei immerse myselfinto a beautiful story.	Sanober  Khan
The heart has its own reasons that reason can't understand.	Voltaire
We couldn’t be friends. We couldn’t be enemies.So what were we?	Rachel E. Carter, Apprentice
He didn't take any of my shit. I needed that.	C.J. English, Affairytale
Loving you was like jumping into the dark side of a pool, and drowning.	Lori Jenessa Nelson
Darling, if I take your breath away, I will give you mine.	Donna Lynn Hope
Sex is more exciting on the screen and between the pages than between the sheets	Andy Warhol
Only a heart that knows how to love can ever be broken.	Gisclerc Morisset
If they really want us to be happy, they'd let us pick ourselves.	Lauren Oliver
Ritsu... Do you like Oda?" More than me?"Yes.	Junko, 王子の帰還 [Ouji no Kikan]
